n,x,y,z,w,gap,spread
91801,158,158,152,137,6,21
91901,162,154,154,135,10,27
92001,158,158,157,132,6,26
92101,164,159,150,132,12,32
92201,156,155,152,144,4,12
92301,157,156,154,140,5,17
92401,162,156,150,139,10,23
92501,162,160,159,124,9,38
92601,162,160,151,134,9,28
92701,164,164,155,122,11,42
92801,156,156,152,145,3,11
92901,160,156,151,142,7,18
93001,160,160,149,140,7,20
93101,162,156,155,136,9,26
93201,166,157,150,136,13,30
93301,164,161,160,122,11,42
93401,159,154,150,148,6,11
93501,158,158,153,142,5,16
93601,160,158,154,139,7,21
93701,165,154,154,138,11,27
93801,160,159,158,134,6,26
93901,164,160,154,133,10,31
94001,158,156,150,149,4,9
94101,160,156,154,143,6,17
94201,161,158,154,140,7,21
94301,164,156,155,138,10,26
94401,164,160,153,136,10,28
94501,166,158,155,134,12,32
94601,156,156,155,148,2,8
94701,160,157,154,144,6,16
94801,163,158,152,142,9,21
94901,161,160,156,138,6,23
95001,163,160,156,136,8,27
95101,164,160,157,134,9,30
95201,157,156,154,150,2,7
95301,160,159,152,146,5,14
95401,161,160,154,142,6,19
95501,162,160,156,139,7,23
95601,164,160,156,137,9,27
95701,164,162,156,135,9,29
95801,156,156,155,152,1,4
95901,160,157,156,146,5,14
96001,162,162,148,147,7,15
96101,162,161,156,140,6,22
96201,166,162,151,140,10,26
96301,165,162,156,136,9,29
96401,166,165,162,124,10,42
96501,158,158,158,147,2,11
96601,164,158,154,145,8,19
96701,164,163,150,144,8,20
96801,164,164,153,140,8,24
96901,166,165,162,126,10,40
97001,169,164,150,138,13,31
97101,160,158,156,149,4,11
97201,162,162,152,147,6,15
97301,162,162,157,142,6,20
97401,164,163,156,140,7,24
97501,162,162,162,137,5,25
97601,168,160,159,136,11,32
97701,160,158,156,151,3,9
97801,161,160,158,146,4,15
97901,162,162,158,143,5,19
98001,165,164,154,142,8,23
98101,163,162,162,138,6,25
98201,168,162,158,137,11,31
98301,158,158,158,153,1,5
98401,163,158,158,148,6,15
98501,162,161,160,144,5,18
98601,166,160,159,142,8,24
98701,166,164,157,140,8,26
98801,168,163,158,138,10,30
98901,168,168,153,138,10,30
99001,160,160,160,149,2,11
99101,166,160,156,147,8,19
99201,166,165,152,146,8,20
99301,166,166,155,142,8,24
99401,168,168,163,128,10,40
99501,171,166,152,140,13,31
99601,160,160,160,151,2,9
99701,164,164,153,150,6,14
99801,164,163,160,144,6,20
99901,167,166,166,130,8,37
