n,x,y,z,w,gap,spread
21201,75,74,74,68,2,7
21301,80,74,73,64,7,16
21401,79,78,74,60,5,19
21501,76,75,74,68,2,8
21601,80,76,73,64,6,16
21701,79,78,76,60,5,19
21801,76,76,75,68,2,8
21901,80,77,74,64,6,16
22001,83,78,72,62,8,21
22101,79,76,72,70,4,9
22201,80,77,76,64,5,16
22301,84,76,75,62,9,22
22401,80,75,74,70,5,10
22501,80,80,74,65,4,15
22601,82,81,80,54,6,28
22701,79,78,74,70,3,9
22801,80,80,76,65,4,15
22901,83,78,78,62,7,21
23001,79,78,76,70,3,9
23101,84,84,75,58,8,26
23201,84,80,76,63,7,21
23301,80,78,76,71,3,9
23401,81,80,78,66,4,15
23501,82,82,78,63,5,19
23601,80,79,76,72,3,8
23701,83,82,82,58,6,25
23801,87,80,74,66,9,21
23901,80,80,75,74,2,6
24001,82,82,77,68,4,14
24101,86,82,75,66,8,20
24201,80,79,78,74,2,6
24301,84,80,78,69,6,15
24401,88,78,78,67,9,21
24501,80,79,78,76,1,4
24601,84,81,78,70,5,14
24701,84,83,80,66,5,18
24801,86,85,78,64,7,22
24901,85,82,74,74,6,11
25001,84,84,80,67,4,17
25101,85,84,82,64,5,21
25201,84,81,80,72,4,12
25301,87,84,76,70,7,17
25401,86,84,82,65,6,21
25501,82,82,82,73,2,9
25601,86,86,75,72,5,14
25701,86,85,82,66,5,20
25801,85,80,80,76,4,9
25901,84,84,83,70,3,14
26001,88,88,73,72,7,16
26101,82,82,82,77,1,5
26201,87,82,82,72,6,15
26301,86,85,84,68,4,18
26401,90,84,83,66,8,24
26501,86,86,78,75,4,11
26601,88,86,81,70,6,18
26701,88,88,82,67,6,21
26801,86,84,82,75,4,11
26901,88,88,78,73,5,15
27001,88,88,83,68,5,20
27101,87,82,82,78,4,9
27201,86,86,85,72,3,14
27301,90,90,75,74,7,16
27401,84,84,83,80,1,4
27501,88,85,84,74,5,14
27601,90,90,76,75,6,15
27701,90,89,84,68,6,22
27801,88,85,84,76,4,12
27901,91,88,80,74,7,17
28001,90,88,86,69,6,21
28101,86,86,85,78,2,8
28201,90,87,84,74,6,16
28301,93,88,82,72,8,21
28401,86,85,84,82,1,4
28501,90,87,84,76,5,14
28601,90,89,86,72,5,18
28701,92,91,84,70,7,22
28801,91,86,82,80,6,11
28901,90,90,85,74,4,16
29001,92,90,86,71,6,21
29101,88,88,83,82,2,6
29201,90,90,85,76,4,14
29301,94,90,83,74,8,20
29401,94,89,88,70,8,24
29501,90,89,86,78,4,12
29601,91,90,88,74,4,17
29701,95,94,88,64,8,31
29801,90,88,86,81,3,9
29901,91,90,88,76,4,15
30001,92,92,88,73,5,19
30101,95,94,84,72,8,23
30201,92,90,86,79,5,13
30301,94,92,85,76,6,18
30401,94,91,90,72,6,22
30501,91,90,86,82,3,9
30601,92,92,88,77,4,15
30701,95,90,90,74,7,21
30801,88,88,88,87,0,1
30901,94,89,88,80,6,14
31001,95,90,90,76,6,19
31101,94,94,90,73,5,21
31201,93,90,86,84,4,9
31301,94,91,90,78,5,16
31401,98,90,89,76,9,22
31501,98,94,94,65,9,33
31601,95,92,84,84,6,11
31701,94,94,90,77,4,17
31801,95,94,92,74,5,21
31901,92,91,90,84,2,8
32001,96,92,89,80,6,16
32101,95,94,92,76,5,19
32201,97,96,90,74,7,23
32301,93,92,92,82,3,11
32401,96,96,87,80,5,16
32501,97,96,90,76,6,21
32601,93,92,88,88,2,5
32701,98,92,88,83,7,15
32801,98,93,92,78,7,20
32901,98,94,94,75,7,23
33001,95,94,88,86,4,9
33101,96,94,93,80,5,16
33201,99,96,90,78,7,21
33301,98,98,98,67,6,31
33401,96,96,88,85,4,11
33501,98,96,91,80,6,18
33601,98,98,92,77,6,21
33701,96,92,90,89,4,7
33801,96,95,94,82,4,14
33901,101,94,92,80,8,21
34001,102,99,86,80,9,22
34101,96,95,92,86,3,10
34201,98,97,92,82,5,16
34301,100,99,90,80,7,20
34401,100,97,96,76,7,24
34501,98,94,94,85,5,13
34601,100,99,88,84,6,16
34701,98,98,97,78,4,20
34801,96,94,93,90,2,6
34901,98,96,95,84,4,14
35001,100,98,94,81,6,19
35101,100,99,96,78,6,22
35201,96,96,95,88,2,8
35301,100,97,94,84,6,16
35401,102,102,97,72,7,30
35501,101,100,96,78,6,23
35601,98,98,93,88,3,10
35701,98,98,98,83,3,15
35801,102,100,94,81,7,21
35901,103,98,98,78,8,25
36001,100,96,96,87,5,13
36101,102,101,90,86,6,16
36201,100,100,99,80,4,20
36301,98,95,94,94,2,4
36401,101,100,90,90,5,11
36501,102,98,98,83,6,19
36601,101,100,100,80,5,21
36701,100,96,94,93,4,7
36801,100,99,98,86,4,14
36901,104,103,100,74,7,30
37001,106,103,90,84,9,22
37101,100,98,96,91,3,9
37201,101,100,98,86,4,15
37301,102,102,98,83,5,19
37401,105,104,94,82,8,23
37501,101,100,94,92,4,9
37601,102,100,99,86,5,16
37701,105,102,96,84,7,21
37801,106,104,95,82,8,24
37901,100,100,99,90,2,10
38001,102,101,100,86,4,16
38101,102,102,102,83,4,19
38201,106,102,100,81,8,25
38301,101,100,100,90,3,11
38401,104,104,95,88,6,16
38501,105,104,98,84,6,21
38601,108,103,98,82,9,26
38701,104,100,98,91,5,13
38801,105,104,96,88,6,17
38901,106,103,100,84,7,22
