# Four-square balance gap -- per-n companion table.
# Every n = x^2 + y^2 + z^2 + w^2 with x >= y >= z >= w >= 0 (Lagrange).
# (x,y,z,w) is the most balanced such decomposition (minimal largest part x).
# gap = x - ceil(sqrt(n/4)) = g(n); spread = x - w (context only).
#   Check any row by hand: x*x + y*y + z*z + w*w = n and gap = x - ceil(sqrt(n/4)).
# is_record = 1 where gap exceeds every smaller n (running maximum);
#   best_so_far is that running maximum; record_index counts the records 1,2,3,...
# Illustrative companion to the gap-record-location sequence; generated by
#   src/gap_table.py (engine src/foursquare.py, 'min' mode).
n,x,y,z,w,gap,best_so_far,is_record,record_index,spread
152,8,6,6,4,1,3,0,,4
153,8,7,6,2,1,3,0,,6
154,8,7,5,4,1,3,0,,4
155,9,7,4,3,2,3,0,,6
156,7,7,7,3,0,3,0,,4
157,7,6,6,6,0,3,0,,1
158,8,7,6,3,1,3,0,,5
159,7,7,6,5,0,3,0,,2
160,8,8,4,4,1,3,0,,4
161,8,6,6,5,1,3,0,,3
162,8,7,7,0,1,3,0,,8
163,7,7,7,4,0,3,0,,3
164,8,8,6,0,1,3,0,,8
165,8,7,6,4,1,3,0,,4
166,8,7,7,2,1,3,0,,6
167,9,6,5,5,2,3,0,,4
168,8,8,6,2,1,3,0,,6
169,8,8,5,4,1,3,0,,4
170,7,7,6,6,0,3,0,,1
171,8,7,7,3,1,3,0,,5
172,7,7,7,5,0,3,0,,2
173,8,8,6,3,1,3,0,,5
174,8,7,6,5,1,3,0,,3
175,9,7,6,3,2,3,0,,6
176,10,6,6,2,3,3,0,,8
177,8,8,7,0,1,3,0,,8
178,8,7,7,4,1,3,0,,4
179,9,7,7,0,2,3,0,,9
180,8,8,6,4,1,3,0,,4
181,8,8,7,2,1,3,0,,6
182,9,7,6,4,2,3,0,,5
183,7,7,7,6,0,3,0,,1
184,10,8,4,2,3,3,0,,8
185,8,7,6,6,1,3,0,,2
186,8,8,7,3,1,3,0,,5
187,8,7,7,5,1,3,0,,3
188,9,7,7,3,2,3,0,,6
189,8,8,6,5,1,3,0,,3
190,9,8,6,3,2,3,0,,6
191,9,7,6,5,2,3,0,,4
192,8,8,8,0,1,3,0,,8
193,8,8,7,4,1,3,0,,4
194,9,8,7,0,2,3,0,,9
195,9,7,7,4,2,3,0,,5
196,7,7,7,7,0,3,0,,0
197,9,8,6,4,1,3,0,,5
198,8,7,7,6,0,3,0,,2
199,9,9,6,1,1,3,0,,8
200,8,8,6,6,0,3,0,,2
201,8,8,8,3,0,3,0,,5
202,8,8,7,5,0,3,0,,3
203,9,8,7,3,1,3,0,,6
204,9,7,7,5,1,3,0,,4
205,10,8,5,4,2,3,0,,6
206,9,8,6,5,1,3,0,,4
207,9,9,6,3,1,3,0,,6
208,8,8,8,4,0,3,0,,4
209,9,8,8,0,1,3,0,,9
210,9,8,7,4,1,3,0,,5
211,8,7,7,7,0,3,0,,1
212,9,9,5,5,1,3,0,,4
213,8,8,7,6,0,3,0,,2
214,9,9,6,4,1,3,0,,5
215,9,7,7,6,1,3,0,,3
216,10,8,6,4,2,3,0,,6
217,8,8,8,5,0,3,0,,3
218,9,8,8,3,1,3,0,,6
219,9,8,7,5,1,3,0,,4
220,9,9,7,3,1,3,0,,6
221,10,7,6,6,2,3,0,,4
222,10,8,7,3,2,3,0,,7
223,9,9,6,5,1,3,0,,4
224,12,8,4,0,4,4,1,5,12
225,9,8,8,4,1,4,0,,5
226,8,8,7,7,0,4,0,,1
227,9,9,7,4,1,4,0,,5
228,8,8,8,6,0,4,0,,2
229,10,8,7,4,2,4,0,,6
230,9,8,7,6,1,4,0,,3
231,10,9,5,5,2,4,0,,5
232,10,8,8,2,2,4,0,,8
233,10,9,6,4,2,4,0,,6
234,9,8,8,5,1,4,0,,4
235,9,9,8,3,1,4,0,,6
236,9,9,7,5,1,4,0,,4
237,10,8,8,3,2,4,0,,7
238,10,8,7,5,2,4,0,,5
