# Four-square balance gap -- per-n companion table.
# Every n = x^2 + y^2 + z^2 + w^2 with x >= y >= z >= w >= 0 (Lagrange).
# (x,y,z,w) is the most balanced such decomposition (minimal largest part x).
# gap = x - ceil(sqrt(n/4)) = g(n); spread = x - w (context only).
#   Check any row by hand: x*x + y*y + z*z + w*w = n and gap = x - ceil(sqrt(n/4)).
# is_record = 1 where gap exceeds every smaller n (running maximum);
#   best_so_far is that running maximum; record_index counts the records 1,2,3,...
# Illustrative companion to the gap-record-location sequence; generated by
#   src/gap_table.py (engine src/foursquare.py, 'min' mode).
n,x,y,z,w,gap,best_so_far,is_record,record_index,spread
4302,36,35,34,25,3,18,0,,11
4303,35,33,33,30,2,18,0,,5
4304,42,34,30,22,9,18,0,,20
4305,35,34,32,30,2,18,0,,5
4306,36,36,33,25,3,18,0,,11
4307,36,33,31,31,3,18,0,,5
4308,37,35,33,25,4,18,0,,12
4309,34,34,34,29,1,18,0,,5
4310,38,36,29,27,5,18,0,,11
4311,35,34,33,29,2,18,0,,6
4312,38,38,32,20,5,18,0,,18
4313,36,34,31,30,3,18,0,,6
4314,37,36,32,25,4,18,0,,12
4315,35,35,32,29,2,18,0,,6
4316,38,36,30,26,5,18,0,,12
4317,36,34,32,29,3,18,0,,7
4318,38,35,32,25,5,18,0,,13
4319,37,33,31,30,4,18,0,,7
4320,40,36,32,20,7,18,0,,20
4321,35,34,34,28,2,18,0,,7
4322,36,35,35,24,3,18,0,,12
4323,35,35,33,28,2,18,0,,7
4324,36,36,34,24,3,18,0,,12
4325,36,34,33,28,3,18,0,,8
4326,37,35,34,24,4,18,0,,13
4327,37,34,31,29,4,18,0,,8
4328,38,38,36,12,5,18,0,,26
4329,36,35,32,28,3,18,0,,8
4330,37,36,33,24,4,18,0,,13
4331,37,33,33,28,4,18,0,,9
4332,37,37,37,15,4,18,0,,22
4333,36,36,30,29,3,18,0,,7
4334,38,35,33,24,5,18,0,,14
4335,35,35,34,27,2,18,0,,8
4336,38,38,38,2,5,18,0,,36
4337,36,34,34,27,3,18,0,,9
4338,37,37,32,24,4,18,0,,13
4339,36,35,33,27,3,18,0,,9
4340,38,36,32,24,5,18,0,,14
4341,38,33,32,28,5,18,0,,10
4342,39,34,33,24,6,18,0,,15
4343,37,34,33,27,4,18,0,,10
4344,40,38,30,20,7,18,0,,20
4345,36,36,32,27,3,18,0,,9
4346,36,36,35,23,3,18,0,,13
4347,37,35,32,27,4,18,0,,10
4348,37,35,35,23,4,18,0,,14
4349,37,36,30,28,4,18,0,,9
4350,37,36,34,23,4,18,0,,14
4351,35,35,35,26,2,18,0,,9
4352,40,40,24,24,7,18,0,,16
4353,36,35,34,26,3,18,0,,10
4354,38,35,34,23,5,18,0,,15
4355,37,36,31,27,4,18,0,,10
4356,33,33,33,33,0,18,0,,0
4357,36,36,33,26,2,18,0,,10
4358,34,33,33,32,0,18,0,,2
4359,37,35,33,26,3,18,0,,11
4360,34,34,32,32,0,18,0,,2
4361,37,36,36,20,3,18,0,,17
4362,34,34,33,31,0,18,0,,3
4363,37,37,29,28,3,18,0,,9
4364,35,33,33,31,1,18,0,,4
4365,37,36,32,26,3,18,0,,11
4366,35,34,32,31,1,18,0,,4
4367,37,37,30,27,3,18,0,,10
4368,34,34,34,30,0,18,0,,4
4369,38,35,32,26,4,18,0,,12
4370,35,34,33,30,1,18,0,,5
4371,36,35,35,25,2,18,0,,11
4372,35,35,31,31,1,18,0,,4
4373,36,36,34,25,2,18,0,,11
4374,35,35,32,30,1,18,0,,5
4375,37,35,34,25,3,18,0,,12
4376,36,34,32,30,2,18,0,,6
4377,38,36,31,26,4,18,0,,12
4378,35,34,34,29,1,18,0,,6
4379,37,36,33,25,3,18,0,,12
4380,35,35,33,29,1,18,0,,6
4381,38,34,34,25,4,18,0,,13
4382,36,34,33,29,2,18,0,,7
4383,38,35,33,25,4,18,0,,13
4384,40,40,28,20,6,18,0,,20
4385,39,36,28,28,5,18,0,,11
4386,36,35,32,29,2,18,0,,7
4387,37,37,32,25,3,18,0,,12
4388,37,33,33,29,3,18,0,,8
4389,38,36,32,25,4,18,0,,13
4390,35,35,34,28,1,18,0,,7
4391,39,34,33,25,5,18,0,,14
4392,36,34,34,28,2,18,0,,8
4393,36,36,35,24,2,18,0,,12
4394,36,35,33,28,2,18,0,,8
4395,37,35,35,24,3,18,0,,13
4396,37,35,31,29,3,18,0,,8
4397,37,36,34,24,3,18,0,,13
4398,37,34,33,28,3,18,0,,9
4399,38,37,31,25,4,18,0,,13
4400,36,36,32,28,2,18,0,,8
4401,38,35,34,24,4,18,0,,14
4402,37,35,32,28,3,18,0,,9
4403,37,37,33,24,3,18,0,,13
4404,35,35,35,27,1,18,0,,8
4405,38,36,33,24,4,18,0,,14
4406,36,35,34,27,2,18,0,,9
4407,38,37,37,15,4,18,0,,23
4408,38,34,32,28,4,18,0,,10
4409,38,38,36,15,4,18,0,,23
4410,36,36,33,27,2,18,0,,9
4411,39,35,33,24,5,18,0,,15
4412,37,35,33,27,3,18,0,,10
4413,38,37,32,24,4,18,0,,14
4414,38,35,31,28,4,18,0,,10
4415,39,37,30,25,5,18,0,,14
4416,44,36,28,20,10,18,0,,24
4417,36,36,36,23,2,18,0,,13
4418,37,36,32,27,3,18,0,,10
4419,37,36,35,23,3,18,0,,14
4420,37,37,29,29,3,18,0,,8
4421,40,34,33,24,6,18,0,,16
4422,36,35,35,26,2,18,0,,10
4423,34,33,33,33,0,18,0,,1
4424,36,36,34,26,2,18,0,,10
4425,34,34,33,32,0,18,0,,2
4426,37,35,34,26,3,18,0,,11
4427,35,33,33,32,1,18,0,,3
4428,37,37,31,27,3,18,0,,10
4429,34,34,34,31,0,18,0,,3
4430,37,36,33,26,3,18,0,,11
4431,35,34,33,31,1,18,0,,4
4432,38,34,34,26,4,18,0,,12
4433,36,33,32,32,2,18,0,,4
4434,37,37,36,20,3,18,0,,17
4435,35,35,32,31,1,18,0,,4
4436,38,36,36,20,4,18,0,,18
4437,35,34,34,30,1,18,0,,5
4438,37,37,32,26,3,18,0,,11
4439,35,35,33,30,1,18,0,,5
4440,38,36,32,26,4,18,0,,12
4441,36,34,33,30,2,18,0,,6
4442,36,36,35,25,2,18,0,,11
4443,36,35,31,31,2,18,0,,5
4444,37,35,35,25,3,18,0,,12
4445,36,35,32,30,2,18,0,,6
4446,37,36,34,25,3,18,0,,12
4447,35,35,34,29,1,18,0,,6
4448,40,36,36,16,6,18,0,,24
4449,36,34,34,29,2,18,0,,7
4450,38,35,34,25,4,18,0,,13
4451,36,35,33,29,2,18,0,,7
4452,37,37,33,25,3,18,0,,12
4453,36,36,31,30,2,18,0,,6
4454,38,36,33,25,4,18,0,,13
4455,37,34,33,29,3,18,0,,8
4456,38,38,28,28,4,18,0,,10
4457,36,36,32,29,2,18,0,,7
4458,38,38,29,27,4,18,0,,11
4459,35,35,35,28,1,18,0,,7
4460,39,35,33,25,5,18,0,,14
4461,36,35,34,28,2,18,0,,8
4462,38,37,32,25,4,18,0,,13
4463,38,33,33,29,4,18,0,,9
4464,36,36,36,24,2,18,0,,12
4465,36,36,33,28,2,18,0,,8
4466,37,36,35,24,3,18,0,,13
4467,37,35,33,28,3,18,0,,9
4468,37,37,37,19,3,18,0,,18
4469,38,35,30,30,4,18,0,,8
4470,37,37,34,24,3,18,0,,13
4471,38,35,31,29,4,18,0,,9
4472,38,36,34,24,4,18,0,,14
4473,37,36,32,28,3,18,0,,9
4474,38,38,31,25,4,18,0,,13
4475,36,35,35,27,2,18,0,,9
4476,38,38,38,12,4,18,0,,26
4477,36,36,34,27,2,18,0,,9
4478,38,37,33,24,4,18,0,,14
4479,37,35,34,27,3,18,0,,10
4480,40,40,32,16,6,18,0,,24
4481,38,36,30,29,4,18,0,,9
4482,38,38,37,15,4,18,0,,23
4483,37,36,33,27,3,18,0,,10
4484,39,37,37,15,5,18,0,,24
4485,38,34,34,27,4,18,0,,11
4486,39,38,36,15,5,18,0,,24
4487,38,35,33,27,4,18,0,,11
4488,38,38,32,24,4,18,0,,14
4489,40,32,32,29,6,18,0,,11
4490,34,34,33,33,0,18,0,,1
4491,37,37,32,27,3,18,0,,10
4492,34,34,34,32,0,18,0,,2
4493,36,36,35,26,2,18,0,,10
4494,35,34,33,32,1,18,0,,3
4495,37,35,35,26,3,18,0,,11
4496,40,36,32,24,6,18,0,,16
4497,37,36,34,26,3,18,0,,11
4498,35,34,34,31,1,18,0,,4
4499,39,35,32,27,5,18,0,,12
4500,35,35,33,31,1,18,0,,4
4501,38,35,34,26,4,18,0,,12
4502,36,34,33,31,2,18,0,,5
4503,37,37,33,26,3,18,0,,11
4504,40,38,28,26,6,18,0,,14
4505,38,36,33,26,4,18,0,,12
4506,35,35,34,30,1,18,0,,5
4507,37,37,37,20,3,18,0,,17
4508,36,34,34,30,2,18,0,,6
4509,38,37,36,20,4,18,0,,18
4510,36,35,33,30,2,18,0,,6
4511,39,35,33,26,5,18,0,,13
4512,40,40,36,4,6,18,0,,36
4513,36,36,36,25,2,18,0,,11
4514,36,36,31,31,2,18,0,,5
4515,37,36,35,25,3,18,0,,12
4516,35,35,35,29,1,18,0,,6
4517,38,38,30,27,4,18,0,,11
4518,36,35,34,29,2,18,0,,7
4519,37,37,34,25,3,18,0,,12
4520,38,36,36,22,4,18,0,,16
4521,38,36,34,25,4,18,0,,13
4522,36,36,33,29,2,18,0,,7
4523,39,39,35,16,5,18,0,,23
4524,37,35,33,29,3,18,0,,8
4525,38,38,31,26,4,18,0,,12
4526,37,36,31,30,3,18,0,,7
4527,38,37,33,25,4,18,0,,13
4528,38,38,34,22,4,18,0,,16
4529,41,36,36,16,7,18,0,,25
4530,36,35,35,28,2,18,0,,8
4531,39,36,33,25,5,18,0,,14
4532,36,36,34,28,2,18,0,,8
4533,39,38,28,28,5,18,0,,11
4534,37,35,34,28,3,18,0,,9
4535,39,38,29,27,5,18,0,,12
4536,40,36,34,22,6,18,0,,18
4537,37,36,36,24,3,18,0,,13
4538,37,36,33,28,3,18,0,,9
4539,37,37,35,24,3,18,0,,13
4540,37,37,31,29,3,18,0,,8
4541,38,36,35,24,4,18,0,,14
4542,38,35,33,28,4,18,0,,10
4543,38,37,37,19,4,18,0,,19
4544,44,36,36,4,10,18,0,,40
4545,38,37,34,24,4,18,0,,14
4546,36,36,35,27,2,18,0,,9
4547,39,35,35,24,5,18,0,,15
4548,37,35,35,27,3,18,0,,10
4549,39,36,34,24,5,18,0,,15
4550,37,36,34,27,3,18,0,,10
4551,39,38,31,25,5,18,0,,14
4552,40,38,32,22,6,18,0,,18
4553,38,38,33,24,4,18,0,,14
4554,38,35,34,27,4,18,0,,11
4555,39,37,33,24,5,18,0,,15
4556,37,37,33,27,3,18,0,,10
4557,34,34,34,33,0,18,0,,1
4558,38,36,33,27,4,18,0,,11
4559,35,34,33,33,1,18,0,,2
4560,40,40,28,24,6,18,0,,16
4561,35,34,34,32,1,18,0,,3
4562,39,34,34,27,5,18,0,,12
4563,35,35,33,32,1,18,0,,3
4564,36,36,36,26,2,18,0,,10
4565,36,34,33,32,2,18,0,,4
4566,37,36,35,26,3,18,0,,11
4567,35,35,34,31,1,18,0,,4
4568,42,36,32,22,8,18,0,,20
4569,36,34,34,31,2,18,0,,5
4570,37,37,34,26,3,18,0,,11
4571,36,35,33,31,2,18,0,,5
4572,38,36,34,26,4,18,0,,12
4573,37,34,32,32,3,18,0,,5
4574,39,37,30,28,5,18,0,,11
4575,35,35,35,30,1,18,0,,5
4576,44,40,28,16,10,18,0,,28
4577,36,35,34,30,2,18,0,,6
4578,38,37,33,26,4,18,0,,12
4579,37,35,32,31,3,18,0,,6
4580,39,37,31,27,5,18,0,,12
4581,36,36,33,30,2,18,0,,6
4582,38,37,37,20,4,18,0,,18
4583,37,35,33,30,3,18,0,,7
4584,38,38,36,20,4,18,0,,18
4585,38,34,32,31,4,18,0,,7
4586,37,36,36,25,3,18,0,,12
4587,36,35,35,29,2,18,0,,7
4588,37,37,35,25,3,18,0,,12
4589,36,36,34,29,2,18,0,,7
4590,38,36,35,25,4,18,0,,13
4591,37,35,34,29,3,18,0,,8
4592,40,36,36,20,6,18,0,,20
4593,38,35,32,30,4,18,0,,8
4594,38,37,34,25,4,18,0,,13
4595,37,36,33,29,3,18,0,,8
4596,39,35,35,25,5,18,0,,14
4597,38,34,34,29,4,18,0,,9
4598,39,36,34,25,5,18,0,,14
4599,37,37,31,30,3,18,0,,7
4600,40,38,34,20,6,18,0,,20
4601,36,36,35,28,2,18,0,,8
4602,38,38,33,25,4,18,0,,13
4603,37,35,35,28,3,18,0,,9
4604,39,37,33,25,5,18,0,,14
4605,37,36,34,28,3,18,0,,9
4606,40,35,34,25,6,18,0,,15
4607,39,34,33,29,5,18,0,,10
4608,48,32,32,16,14,18,0,,32
4609,38,35,34,28,4,18,0,,10
4610,37,37,36,24,3,18,0,,13
4611,37,37,33,28,3,18,0,,9
4612,38,36,36,24,4,18,0,,14
4613,38,36,33,28,4,18,0,,10
4614,38,37,35,24,4,18,0,,14
4615,38,37,31,29,4,18,0,,9
4616,42,36,34,20,8,18,0,,22
4617,36,36,36,27,2,18,0,,9
4618,38,38,37,19,4,18,0,,19
4619,37,36,35,27,3,18,0,,10
4620,38,38,34,24,4,18,0,,14
4621,38,37,32,28,4,18,0,,10
4622,39,37,34,24,5,18,0,,15
4623,37,37,34,27,3,18,0,,10
4624,34,34,34,34,0,18,0,,0
4625,38,36,34,27,3,18,0,,11
4626,35,34,34,33,0,18,0,,2
4627,39,37,36,21,4,18,0,,18
4628,35,35,33,33,0,18,0,,2
4629,38,38,30,29,3,18,0,,9
4630,35,35,34,32,0,18,0,,3
4631,38,37,33,27,3,18,0,,11
4632,36,34,34,32,1,18,0,,4
4633,38,38,31,28,3,18,0,,10
4634,36,35,33,32,1,18,0,,4
4635,39,36,33,27,4,18,0,,12
4636,35,35,35,31,0,18,0,,4
4637,37,36,36,26,2,18,0,,11
4638,36,35,34,31,1,18,0,,5
4639,37,37,35,26,2,18,0,,11
4640,36,36,32,32,1,18,0,,4
4641,38,36,35,26,3,18,0,,12
4642,36,36,33,31,1,18,0,,5
4643,39,37,32,27,4,18,0,,12
4644,37,35,33,31,2,18,0,,6
4645,38,37,34,26,3,18,0,,12
4646,36,35,35,30,1,18,0,,6
4647,39,35,35,26,4,18,0,,13
4648,36,36,34,30,1,18,0,,6
4649,39,36,34,26,4,18,0,,13
4650,37,35,34,30,2,18,0,,7
4651,40,37,29,29,5,18,0,,11
4652,41,39,33,19,6,18,0,,22
4653,38,38,33,26,3,18,0,,12
4654,37,36,33,30,2,18,0,,7
4655,39,37,33,26,4,18,0,,13
4656,38,34,34,30,3,18,0,,8
4657,38,38,37,20,3,18,0,,18
4658,36,36,35,29,1,18,0,,7
4659,37,37,36,25,2,18,0,,12
4660,37,35,35,29,2,18,0,,8
4661,38,36,36,25,3,18,0,,13
4662,37,36,34,29,2,18,0,,8
4663,38,37,35,25,3,18,0,,13
4664,38,36,32,30,3,18,0,,8
4665,39,38,32,26,4,18,0,,13
4666,38,35,34,29,3,18,0,,9
4667,39,36,35,25,4,18,0,,14
4668,37,37,33,29,2,18,0,,8
4669,38,38,34,25,3,18,0,,13
4670,38,36,33,29,3,18,0,,9
4671,39,37,34,25,4,18,0,,14
4672,36,36,36,28,1,18,0,,8
4673,40,38,30,27,5,18,0,,13
4674,37,36,35,28,2,18,0,,9
4675,40,35,35,25,5,18,0,,15
4676,39,35,33,29,4,18,0,,10
4677,40,36,34,25,5,18,0,,15
4678,37,37,34,28,2,18,0,,9
4679,39,38,33,25,4,18,0,,14
4680,38,36,34,28,3,18,0,,10
4681,40,38,31,26,5,18,0,,14
4682,39,36,32,29,4,18,0,,10
4683,37,37,37,24,2,18,0,,13
4684,39,39,39,11,4,18,0,,28
4685,38,37,36,24,3,18,0,,14
4686,38,37,33,28,3,18,0,,10
4687,41,35,34,25,6,18,0,,16
4688,38,38,30,30,3,18,0,,8
4689,38,38,35,24,3,18,0,,14
4690,37,36,36,27,2,18,0,,10
4691,39,37,35,24,4,18,0,,15
4692,37,37,35,27,2,18,0,,10
4693,35,34,34,34,0,18,0,,1
4694,38,36,35,27,3,18,0,,11
4695,35,35,34,33,0,18,0,,2
4696,38,38,32,28,3,18,0,,10
4697,36,34,34,33,1,18,0,,3
4698,38,37,34,27,3,18,0,,11
4699,35,35,35,32,0,18,0,,3
4700,39,35,35,27,4,18,0,,12
4701,36,35,34,32,1,18,0,,4
4702,39,36,34,27,4,18,0,,12
4703,37,34,33,33,2,18,0,,4
4704,40,36,32,28,5,18,0,,12
4705,36,36,33,32,1,18,0,,4
4706,38,38,33,27,3,18,0,,11
4707,36,35,35,31,1,18,0,,5
4708,39,37,33,27,4,18,0,,12
4709,36,36,34,31,1,18,0,,5
4710,37,37,36,26,2,18,0,,11
4711,37,35,34,31,2,18,0,,6
4712,38,36,36,26,3,18,0,,12
4713,37,36,32,32,2,18,0,,5
4714,38,37,35,26,3,18,0,,12
4715,37,36,33,31,2,18,0,,6
4716,41,37,35,21,6,18,0,,20
4717,36,36,35,30,1,18,0,,6
4718,39,36,35,26,4,18,0,,13
4719,37,35,35,30,2,18,0,,7
4720,38,38,34,26,3,18,0,,12
4721,37,36,34,30,2,18,0,,7
4722,39,37,34,26,4,18,0,,13
4723,37,37,32,31,2,18,0,,6
4724,39,39,29,29,4,18,0,,10
4725,38,35,34,30,3,18,0,,8
4726,39,39,30,28,4,18,0,,11
4727,37,37,33,30,2,18,0,,7
4728,40,36,34,26,5,18,0,,14
4729,36,36,36,29,1,18,0,,7
4730,39,38,33,26,4,18,0,,13
4731,37,36,35,29,2,18,0,,8
4732,37,37,37,25,2,18,0,,12
4733,39,34,34,30,4,18,0,,9
4734,38,37,36,25,3,18,0,,13
4735,37,37,34,29,2,18,0,,8
4736,48,40,24,16,13,18,0,,32
4737,38,36,34,29,3,18,0,,9
4738,38,38,35,25,3,18,0,,13
4739,39,36,31,31,4,18,0,,8
4740,39,37,35,25,4,18,0,,14
4741,38,38,37,22,3,18,0,,16
4742,39,39,32,26,4,18,0,,13
4743,38,37,33,29,3,18,0,,9
4744,40,38,32,26,5,18,0,,14
4745,37,36,36,28,2,18,0,,9
4746,39,38,34,25,4,18,0,,14
4747,37,37,35,28,2,18,0,,9
4748,41,39,39,5,6,18,0,,36
4749,38,36,35,28,3,18,0,,10
4750,40,37,34,25,5,18,0,,15
4751,39,37,31,30,4,18,0,,9
4752,40,40,36,16,5,18,0,,24
4753,38,37,34,28,3,18,0,,10
4754,41,38,30,27,6,18,0,,14
4755,39,35,35,28,4,18,0,,11
4756,39,39,33,25,4,18,0,,14
4757,39,36,34,28,4,18,0,,11
4758,38,37,37,24,3,18,0,,14
4759,39,39,39,14,4,18,0,,25
4760,38,38,36,24,3,18,0,,14
4761,38,38,33,28,3,18,0,,10
4762,35,35,34,34,0,18,0,,1
4763,37,37,36,27,2,18,0,,10
4764,35,35,35,33,0,18,0,,2
4765,38,36,36,27,3,18,0,,11
4766,36,35,34,33,1,18,0,,3
4767,38,37,35,27,3,18,0,,11
4768,40,36,36,24,5,18,0,,16
4769,40,36,33,28,5,18,0,,12
4770,36,35,35,32,1,18,0,,4
4771,39,36,35,27,4,18,0,,12
4772,36,36,34,32,1,18,0,,4
4773,38,38,34,27,3,18,0,,11
4774,37,35,34,32,2,18,0,,5
4775,39,37,34,27,4,18,0,,12
4776,40,38,34,24,5,18,0,,16
4777,40,37,32,28,5,18,0,,12
4778,36,36,35,31,1,18,0,,5
4779,39,39,36,21,4,18,0,,18
4780,37,35,35,31,2,18,0,,6
4781,40,36,34,27,5,18,0,,13
4782,37,36,34,31,2,18,0,,6
4783,37,37,37,26,2,18,0,,11
4784,42,38,30,26,7,18,0,,16
4785,38,37,36,26,3,18,0,,12
4786,37,37,32,32,2,18,0,,5
4787,39,39,31,28,4,18,0,,11
4788,36,36,36,30,1,18,0,,6
4789,38,38,35,26,3,18,0,,12
4790,37,36,35,30,2,18,0,,7
4791,39,37,35,26,4,18,0,,13
4792,42,36,34,24,7,18,0,,18
4793,42,34,33,28,7,18,0,,14
4794,37,37,34,30,2,18,0,,7
4795,39,39,32,27,4,18,0,,12
4796,38,36,34,30,3,18,0,,8
4797,39,38,34,26,4,18,0,,13
4798,38,37,32,31,3,18,0,,7
4799,41,39,34,21,6,18,0,,20
4800,40,40,32,24,5,18,0,,16
4801,40,37,34,26,5,18,0,,14
4802,37,36,36,29,2,18,0,,8
4803,40,39,29,29,5,18,0,,11
4804,37,37,35,29,2,18,0,,8
4805,40,39,30,28,5,18,0,,12
4806,38,36,35,29,3,18,0,,9
4807,38,37,37,25,3,18,0,,13
4808,42,38,32,24,7,18,0,,18
4809,38,38,36,25,3,18,0,,13
4810,38,37,34,29,3,18,0,,9
4811,39,37,36,25,4,18,0,,14
4812,38,38,32,30,3,18,0,,8
4813,40,38,37,20,5,18,0,,20
4814,39,36,34,29,4,18,0,,10
4815,39,38,35,25,4,18,0,,14
4816,38,38,38,22,3,18,0,,16
4817,40,36,36,25,5,18,0,,15
4818,37,37,36,28,2,18,0,,9
4819,39,39,39,16,4,18,0,,23
4820,38,36,36,28,3,18,0,,10
4821,40,39,32,26,5,18,0,,14
4822,38,37,35,28,3,18,0,,10
4823,39,39,34,25,4,18,0,,14
4824,40,38,36,22,5,18,0,,18
4825,40,38,34,25,5,18,0,,15
4826,39,36,35,28,4,18,0,,11
4827,41,36,35,25,6,18,0,,16
4828,38,38,34,28,3,18,0,,10
4829,40,40,30,27,5,18,0,,13
4830,39,37,34,28,4,18,0,,11
4831,35,35,35,34,0,18,0,,1
4832,44,36,32,24,9,18,0,,20
4833,36,35,34,34,1,18,0,,2
4834,40,35,35,28,5,18,0,,12
4835,36,35,35,33,1,18,0,,3
4836,37,37,37,27,2,18,0,,10
4837,36,36,34,33,1,18,0,,3
4838,38,37,36,27,3,18,0,,11
4839,37,35,34,33,2,18,0,,4
4840,40,40,34,22,5,18,0,,18
4841,36,36,35,32,1,18,0,,4
4842,38,38,35,27,3,18,0,,11
4843,37,35,35,32,2,18,0,,5
4844,39,37,35,27,4,18,0,,12
4845,37,36,34,32,2,18,0,,5
4846,40,38,31,29,5,18,0,,11
4847,38,35,33,33,3,18,0,,5
4848,42,38,34,22,7,18,0,,20
4849,36,36,36,31,1,18,0,,5
4850,39,38,34,27,4,18,0,,12
4851,37,36,35,31,2,18,0,,6
4852,39,39,37,21,4,18,0,,18
4853,38,36,33,32,3,18,0,,6
4854,40,37,34,27,5,18,0,,13
4855,37,37,34,31,2,18,0,,6
4856,42,40,36,14,7,18,0,,28
4857,38,36,34,31,3,18,0,,7
4858,38,37,37,26,3,18,0,,12
4859,39,35,33,32,4,18,0,,7
4860,38,38,36,26,3,18,0,,12
4861,37,36,36,30,2,18,0,,7
4862,39,37,36,26,4,18,0,,13
4863,37,37,35,30,2,18,0,,7
4864,40,40,40,8,5,18,0,,32
4865,38,36,35,30,3,18,0,,8
4866,39,38,35,26,4,18,0,,13
4867,39,36,33,31,4,18,0,,8
4868,40,36,36,26,5,18,0,,14
4869,38,37,34,30,3,18,0,,8
4870,40,37,35,26,5,18,0,,14
4871,39,35,35,30,4,18,0,,9
4872,42,40,32,22,7,18,0,,20
4873,38,38,32,31,3,18,0,,7
4874,39,39,34,26,4,18,0,,13
4875,37,37,36,29,2,18,0,,8
4876,40,38,34,26,5,18,0,,14
4877,38,36,36,29,3,18,0,,9
4878,41,36,35,26,6,18,0,,15
4879,38,37,35,29,3,18,0,,9
4880,42,42,26,26,7,18,0,,16
4881,40,35,34,30,5,18,0,,10
4882,38,38,37,25,3,18,0,,13
4883,39,36,35,29,4,18,0,,10
4884,39,37,37,25,4,18,0,,14
4885,38,38,34,29,3,18,0,,9
4886,39,38,36,25,4,18,0,,14
4887,39,37,34,29,4,18,0,,10
4888,40,38,38,20,5,18,0,,20
4889,39,38,32,30,4,18,0,,9
4890,40,37,36,25,5,18,0,,15
4891,37,37,37,28,2,18,0,,9
4892,39,39,35,25,4,18,0,,14
4893,38,37,36,28,3,18,0,,10
4894,40,38,35,25,5,18,0,,15
4895,39,38,33,29,4,18,0,,10
4896,40,40,36,20,5,18,0,,20
4897,38,38,35,28,3,18,0,,10
4898,40,39,39,16,5,18,0,,24
4899,39,37,35,28,4,18,0,,11
4900,35,35,35,35,0,18,0,,0
4901,40,39,36,22,4,18,0,,18
4902,36,35,35,34,0,18,0,,2
4903,39,39,31,30,3,18,0,,9
4904,36,36,34,34,0,18,0,,2
4905,39,38,34,28,3,18,0,,11
4906,36,36,35,33,0,18,0,,3
4907,39,39,32,29,3,18,0,,10
4908,37,35,35,33,1,18,0,,4
4909,40,37,34,28,4,18,0,,12
4910,37,36,34,33,1,18,0,,4
4911,38,37,37,27,2,18,0,,11
4912,36,36,36,32,0,18,0,,4
4913,38,38,36,27,2,18,0,,11
4914,37,36,35,32,1,18,0,,5
4915,39,37,36,27,3,18,0,,12
4916,37,37,33,33,1,18,0,,4
4917,40,38,33,28,4,18,0,,12
4918,37,37,34,32,1,18,0,,5
4919,39,38,35,27,3,18,0,,12
4920,38,36,34,32,2,18,0,,6
4921,40,36,36,27,4,18,0,,13
4922,37,36,36,31,1,18,0,,6
4923,40,37,35,27,4,18,0,,13
4924,37,37,35,31,1,18,0,,6
4925,41,38,30,30,5,18,0,,11
4926,38,36,35,31,2,18,0,,7
4927,39,39,34,27,3,18,0,,12
4928,44,36,36,20,8,18,0,,24
4929,40,38,34,27,4,18,0,,13
4930,38,37,34,31,2,18,0,,7
4931,40,39,37,21,4,18,0,,19
4932,39,35,35,31,3,18,0,,8
4933,38,38,37,26,2,18,0,,12
4934,37,37,36,30,1,18,0,,7
4935,39,37,37,26,3,18,0,,13
4936,38,36,36,30,2,18,0,,8
4937,39,38,36,26,3,18,0,,13
4938,38,37,35,30,2,18,0,,8
4939,40,39,33,27,4,18,0,,13
4940,39,37,33,31,3,18,0,,8
4941,40,37,36,26,4,18,0,,14
4942,39,36,35,30,3,18,0,,9
4943,39,39,35,26,3,18,0,,13
4944,38,38,34,30,2,18,0,,8
4945,40,38,35,26,4,18,0,,14
4946,39,37,34,30,3,18,0,,9
4947,41,39,31,28,5,18,0,,13
4948,37,37,37,29,1,18,0,,8
4949,41,36,36,26,5,18,0,,15
4950,38,37,36,29,2,18,0,,9
4951,41,37,35,26,5,18,0,,15
4952,40,36,34,30,4,18,0,,10
4953,40,39,34,26,4,18,0,,14
4954,38,38,35,29,2,18,0,,9
4955,41,39,32,27,5,18,0,,14
4956,39,37,35,29,3,18,0,,10
4957,38,38,38,25,2,18,0,,13
4958,40,37,33,30,4,18,0,,10
4959,39,38,37,25,3,18,0,,14
4960,44,40,32,20,8,18,0,,24
4961,42,36,35,26,6,18,0,,16
4962,39,38,34,29,3,18,0,,10
4963,39,39,36,25,3,18,0,,14
4964,39,39,31,31,3,18,0,,8
4965,40,38,36,25,4,18,0,,15
4966,38,37,37,28,2,18,0,,10
4967,41,39,33,26,5,18,0,,15
4968,38,38,36,28,2,18,0,,10
4969,40,40,37,20,4,18,0,,20
4970,39,37,36,28,3,18,0,,11
4971,36,35,35,35,0,18,0,,1
4972,39,39,33,29,3,18,0,,10
4973,36,36,35,34,0,18,0,,2
4974,39,38,35,28,3,18,0,,11
4975,37,35,35,34,1,18,0,,3
4976,40,36,36,28,4,18,0,,12
4977,36,36,36,33,0,18,0,,3
4978,40,37,35,28,4,18,0,,12
4979,37,36,35,33,1,18,0,,4
4980,40,40,36,22,4,18,0,,18
4981,38,35,34,34,2,18,0,,4
4982,39,39,34,28,3,18,0,,11
4983,37,37,34,33,1,18,0,,4
4984,40,38,34,28,4,18,0,,12
